;COUNTYFP;STATEFP;Geo Point;NAME;STATE_NAME
0;63;39;41.001938375,-83.6665354077;Hancock;Ohio
1;179;51;38.4207190191,-77.4574003866;Stafford;Virginia
2;181;31;40.1764332141,-98.4999473753;Webster;Nebraska
3;127;48;28.4225359982,-99.756726125;Dimmit;Texas
4;31;19;41.7723266607,-91.1324230468;Cedar;Iowa
5;39;46;44.7600579518,-96.6679741404;Deuel;South Dakota
6;89;19;43.3567673364,-92.3171989039;Howard;Iowa
7;99;12;26.6475645688,-80.4365110484;Palm Beach;Florida
8;89;36;44.4964021427,-75.0689522747;St. Lawrence;New York
9;25;46;44.8582538926,-97.7294962958;Clark;South Dakota
10;57;31;40.1762352358,-101.687961438;Dundy;Nebraska
11;3;8;37.5728931402,-105.788288197;Alamosa;Colorado
12;17;12;28.8475696914,-82.5201067311;Citrus;Florida
13;89;45;33.6199254931,-79.7277120284;Williamsburg;South Carolina
14;127;55;42.6684869829,-88.5419040709;Walworth;Wisconsin
15;161;18;39.6255458453,-84.9251420286;Union;Indiana
16;67;27;45.1523823451,-95.0047424624;Kandiyohi;Minnesota
17;29;23;44.9694591011,-67.6090594873;Washington;Maine
18;103;72;18.2110304405,-65.7360948748;Naguabo;Puerto Rico
19;93;37;35.0175290075,-79.237290715;Hoke;North Carolina
20;161;27;44.0221236545,-93.5872832229;Waseca;Minnesota
21;49;16;45.8441976984,-115.46748731;Idaho;Idaho
22;87;31;40.1763469163,-101.042272426;Hitchcock;Nebraska
23;11;30;45.5167568769,-104.536158529;Carter;Montana
24;5;38;48.0693970137,-99.3660130155;Benson;North Dakota
25;181;19;41.334373461,-93.5613593647;Warren;Iowa
26;73;42;40.9912143554,-80.3347070702;Lawrence;Pennsylvania
27;101;51;37.7065960005,-77.0885455088;King William;Virginia
28;11;41;43.1851621531,-124.093318775;Coos;Oregon
29;165;48;32.7407276994,-102.635174091;Gaines;Texas
30;47;22;30.2584988738,-91.3493631932;Iberville;Louisiana
31;37;12;29.8116835857,-84.8004565948;Franklin;Florida
32;23;38;48.8148829805,-103.48733562;Divide;North Dakota
33;181;17;37.4712716191,-89.255127403;Union;Illinois
34;13;45;32.3570482149,-80.6921989253;Beaufort;South Carolina
35;23;55;43.2394623005,-90.9310479025;Crawford;Wisconsin
36;303;48;33.6102061227,-101.820545838;Lubbock;Texas
37;29;12;29.5812415277,-83.1870324531;Dixie;Florida
38;303;13;32.9695357353,-82.7958991685;Washington;Georgia
39;63;53;47.6206643185,-117.403947339;Spokane;Washington
40;55;54;37.4055150245,-81.1114444602;Mercer;West Virginia
41;33;12;30.6143960313,-87.3413643298;Escambia;Florida
42;103;40;36.388599579,-97.2305066413;Noble;Oklahoma
43;187;37;35.8392646425,-76.5693098876;Washington;North Carolina
44;109;17;40.4562312432,-90.6778776624;McDonough;Illinois
45;25;34;40.2875173476,-74.1582023922;Monmouth;New Jersey
46;41;40;36.4082132934,-94.8026575137;Delaware;Oklahoma
47;11;20;37.8552256175,-94.8492968396;Bourbon;Kansas
48;29;6;35.3428473738,-118.729900424;Kern;California
49;7;54;38.6998727176,-80.7192881391;Braxton;West Virginia
50;81;37;36.0794717315,-79.7889042685;Guilford;North Carolina
51;107;1;33.2808768859,-88.0886925942;Pickens;Alabama
52;107;8;40.4850679408,-106.991193187;Routt;Colorado
53;590;51;36.5831912624,-79.4088067684;Danville;Virginia
54;87;54;38.7140255919,-81.3483495174;Roane;West Virginia
55;201;17;42.3362603021,-89.1608658488;Winnebago;Illinois
56;50;60;-14.3355554126,-170.784527256;Western;American Samoa
57;47;48;27.0315726438,-98.2187211196;Brooks;Texas
58;123;17;41.0331711391,-89.3447914374;Marshall;Illinois
59;69;26;44.3370929481,-83.0853006647;Iosco;Michigan
60;51;31;42.4930987798,-96.8677208272;Dixon;Nebraska
61;1;13;31.7492803518,-82.288983582;Appling;Georgia
62;73;48;31.8369546469,-95.1651831384;Cherokee;Texas
63;23;27;45.0223609495,-95.5667047202;Chippewa;Minnesota
64;47;28;30.4160496685,-89.081642685;Harrison;Mississippi
65;39;53;45.8738054472,-120.789207302;Klickitat;Washington
66;67;30;45.4883821256,-110.526662711;Park;Montana
67;149;13;33.2970283837,-85.128270367;Heard;Georgia
68;297;48;28.3513711091,-98.124785649;Live Oak;Texas
69;125;8;40.0028993432,-102.424226323;Yuma;Colorado
70;5;16;42.6684852128,-112.224618777;Bannock;Idaho
71;493;48;29.17400609,-98.0865732835;Wilson;Texas
72;181;18;40.7497715932,-86.8654694016;White;Indiana
73;117;47;35.4688611107,-86.7650174387;Marshall;Tennessee
74;141;55;44.45533124,-90.0415484809;Wood;Wisconsin
75;67;13;33.9414815247,-84.5766842461;Cobb;Georgia
76;19;8;39.6890538531,-105.64436349;Clear Creek;Colorado
77;217;48;31.9906857305,-97.1324266998;Hill;Texas
78;33;31;41.2197790932,-102.994978749;Cheyenne;Nebraska
79;79;20;38.0432184802,-97.4272714417;Harvey;Kansas
80;27;72;18.443076541,-66.8626349655;Camuy;Puerto Rico
81;115;51;37.4173108862,-76.271286532;Mathews;Virginia
82;67;36;43.0057953643,-76.1946419306;Onondaga;New York
83;7;49;39.6481383656,-110.588798086;Carbon;Utah
84;27;42;40.9193457751,-77.8199601615;Centre;Pennsylvania
85;67;54;38.2917014586,-80.7993280947;Nicholas;West Virginia
86;145;18;39.5236921944,-85.7917003981;Shelby;Indiana
87;123;22;32.7885605367,-91.4567382424;West Carroll;Louisiana
88;9;54;40.2738181301,-80.5764203083;Brooke;West Virginia
89;171;29;40.478908401,-93.0161267941;Putnam;Missouri
90;97;18;39.7817096805,-86.1384716709;Marion;Indiana
91;59;72;18.0071198462,-66.7971292026;Guayanilla;Puerto Rico
92;475;48;31.5094655501,-103.102425237;Ward;Texas
93;29;16;42.7705180974,-111.562215274;Caribou;Idaho
94;11;5;33.4664224376,-92.1624016443;Bradley;Arkansas
95;21;16;48.7668933923,-116.462903445;Boundary;Idaho
96;23;46;43.2079070509,-98.5878938604;Charles Mix;South Dakota
97;459;48;32.7362765372,-94.9414845344;Upshur;Texas
98;61;40;35.2247812957,-95.1166498604;Haskell;Oklahoma
99;165;51;38.5120104943,-78.8757516437;Rockingham;Virginia
100;9;37;36.434424701,-81.5005211955;Ashe;North Carolina
101;177;51;38.1849543372,-77.6560473238;Spotsylvania;Virginia
102;35;56;42.7669066527,-109.914705901;Sublette;Wyoming
103;479;48;27.7610624301,-99.3315653042;Webb;Texas
104;175;37;35.2021778635,-82.7983001279;Transylvania;North Carolina
105;61;48;26.1513412689,-97.4529680071;Cameron;Texas
106;55;37;35.664936694,-75.6852333134;Dare;North Carolina
107;57;12;27.9062278359,-82.346916153;Hillsborough;Florida
108;31;31;42.5449323085,-101.118576892;Cherry;Nebraska
109;117;51;36.6803610038,-78.3626942045;Mecklenburg;Virginia
110;129;31;40.1763796295,-98.0471849897;Nuckolls;Nebraska
111;3;39;40.7715207081,-84.1057794323;Allen;Ohio
112;85;39;41.9103521337,-81.250939242;Lake;Ohio
113;11;29;37.5023005833,-94.3471107747;Barton;Missouri
114;89;26;45.151770859,-86.0384960523;Leelanau;Michigan
115;115;8;40.8759049641,-102.351791195;Sedgwick;Colorado
116;89;31;42.4557108473,-98.7838447084;Holt;Nebraska
117;227;13;34.4643197803,-84.4656390578;Pickens;Georgia
118;69;28;32.7545579307,-88.6411594239;Kemper;Mississippi
119;83;17;39.0855054887,-90.3565282985;Jersey;Illinois
120;95;12;28.5144162588,-81.3234735281;Orange;Florida
121;181;48;33.6268085539,-96.6777253881;Grayson;Texas
122;107;48;33.6146250309,-101.299958451;Crosby;Texas
123;151;72;18.0559662881,-65.8633023194;Yabucoa;Puerto Rico
124;3;40;36.730988911,-98.3239781797;Alfalfa;Oklahoma
125;193;21;37.2442933233,-83.2214816028;Perry;Kentucky
126;121;19;41.3307142217,-94.0155619459;Madison;Iowa
127;5;48;31.2547645833,-94.6118485462;Angelina;Texas
128;11;17;41.4041459264,-89.5286557577;Bureau;Illinois
129;157;18;40.3886187334,-86.8940974128;Tippecanoe;Indiana
130;37;26;42.9436523662,-84.6015165533;Clinton;Michigan
131;133;72;17.9530033162,-66.3866938243;Santa Isabel;Puerto Rico
132;131;37;36.4177312434,-77.3968212099;Northampton;North Carolina
133;81;46;44.3586271805,-103.792224515;Lawrence;South Dakota
134;59;8;39.5864284092,-105.250466793;Jefferson;Colorado
135;35;20;37.2377526609,-96.8374891769;Cowley;Kansas
136;45;51;37.4817063904,-80.2113954217;Craig;Virginia
137;27;25;42.3513950817,-71.9077266261;Worcester;Massachusetts
138;31;6;36.0753604529,-119.815502709;Kings;California
139;115;20;38.3588724365,-97.0968903589;Marion;Kansas
140;291;13;34.8340257189,-83.990719955;Union;Georgia
141;53;22;30.2677218795,-92.814120915;Jefferson Davis;Louisiana
142;37;8;39.6278256159,-106.695299259;Eagle;Colorado
143;209;29;36.7470190976,-93.455980976;Stone;Missouri
144;69;16;46.326849228,-116.750277131;Nez Perce;Idaho
145;113;13;33.4139430365,-84.4941911259;Fayette;Georgia
146;275;2;56.2936264549,-132.12922494;Wrangell;Alaska
147;1;20;37.8857349436,-95.3013889295;Allen;Kansas
148;165;19;41.6850925934,-95.31021134;Shelby;Iowa
149;9;34;39.0850981086,-74.8499770137;Cape May;New Jersey
150;5;33;42.9193314277,-72.2511752725;Cheshire;New Hampshire
151;9;24;38.5347120041,-76.5305644689;Calvert;Maryland
152;43;35;35.6886045558,-106.865950923;Sandoval;New Mexico
153;147;40;36.7152338187,-95.9043661801;Washington;Oklahoma
154;323;48;28.7425901306,-100.314514171;Maverick;Texas
155;163;37;34.9915361594,-78.3713906105;Sampson;North Carolina
156;163;47;36.5129154065,-82.3041428598;Sullivan;Tennessee
157;11;56;44.5886036159,-104.569929444;Crook;Wyoming
158;139;18;39.6199484364,-85.4657611777;Rush;Indiana
159;195;29;39.1368391026,-93.2018512461;Saline;Missouri
160;3;24;38.9941571642,-76.5675970619;Anne Arundel;Maryland
161;101;54;38.4947373058,-80.421873068;Webster;West Virginia
162;155;17;41.2044899818,-89.2857803179;Putnam;Illinois
163;23;5;35.5381064958,-92.0267180322;Cleburne;Arkansas
